,Job Title,Company Name,Experience Required,Salary Per Annum
0,                     Relationship Executive                ,                             FreeCharge                        ,0-2 years,"                                 ₹ 1,25,000                            "
1,                     Graphic Designer                ,                             The Third Eye Films                        ,0-2 years,"                                 ₹ 2,40,000 - 3,00,000                            "
2,                     Business Development Executive                ,                             AddZ                        ,1-2 years,"                                 ₹ 3,00,000 - 4,00,000                            "
3,                     Associate Graphic Designer                ,                             Infinitywayworks Media LLP                        ,1-3 years,"                                 ₹ 3,50,000 - 4,20,000                            "
4,                     Sales Manager                ,                             The Prism Paradox                        ,1 year,"                                 ₹ 3,50,000 - 4,20,000                            "
5,                     Sales Trainee (Female)                ,                             ITC Limited                        ,0 years,"                                 ₹ 4,50,000                            "
6,                     E-Commerce Manager                ,                             Calmveda                        ,1 year,"                                 ₹ 5,00,000 - 8,00,000                            "
7,                     Business Development Associate                ,                             PlanetSpark                        ,0-5 years,"                                 ₹ 6,50,000 - 7,50,000                            "
8,                     SaaS Designer                ,"                             DevRiser (New York County, United States)                        ",3-4 years,"                                 ₹ 6,00,000 - 8,00,000                            "
9,                     ERP Consultant & Quality Assurance Executive                ,                             Greycube Technologies                        ,0-1 years,"                                 ₹ 2,00,000 - 2,40,000                            "
10,                     Senior Graphic Designer                ,                             Scalar Tech Media Private Limited                        ,1-3 years,"                                 ₹ 2,00,000 - 2,70,000                            "
11,                     Artificial Intelligence (AI) Associate                ,                             Relinns Technologies                        ,1-3 years,"                                 ₹ 3,00,000 - 5,00,000                            "
12,                     Online Marketing                ,                             Saurabh Enterprises                        ,0-1 years,"                                 ₹ 3,00,000 - 4,00,000                            "
13,                     Corporate Sales Executive                ,                             Botlie Software And Consulting Private Limited                        ,0-1 years,"                                 ₹ 2,50,000 - 2,75,000                            "
14,                     B2B Growth Hacker                ,                             Fyule                        ,1-2 years,"                                 ₹ 8,00,000 - 10,00,000                            "
15,                     Customer Support Executive                ,                             MBG Card                        ,1-3 years,"                                 ₹ 2,00,000 - 2,10,000                            "
16,                     Photographer                ,                             Rudralife                        ,1-2 years,"                                 ₹ 3,00,000                            "
17,                     Senior Finance Manager                ,                             Primary Healthtech                        ,4-5 years,"                                 ₹ 8,00,000 - 9,00,000                            "
18,                     SEO Executive                ,                             Rudralife                        ,3-5 years,"                                 ₹ 5,00,000                            "
19,                     Business Development Executive/Manager                ,                             Kheoni Ventures Private Limited                        ,1-4 years,"                                 ₹ 2,00,000 - 4,50,000                            "
20,                     Technical Support Executive                ,                             MBG Card                        ,0-1 years,"                                 ₹ 10,00,000 - 15,00,000                            "
21,                     Corporate Relations Associate                ,                             Goodera                        ,1-3 years,"                                 ₹ 5,00,000 - 6,00,000                            "
22,                     Customer Support Executive                ,                             The Future University                        ,1-3 years,"                                 ₹ 2,16,000 - 3,60,000                            "
23,                     Curriculum Planner - Coding/Robotic                ,                             K12 Techno Service Private Limited (Orchids International School)                        ,1-4 years,"                                 ₹ 4,00,000 - 5,00,000                            "
